GEOID,NAME,total_speakers,shannon_entropy,english_share,spanish_share,asian_share,foreign_share,median_income,total_population,immigrant_share,state,log_median_income,log_total_population,entropy_quartile,high_diversity
42107,"Schuylkill County, Pennsylvania",135035,0.2775747885150529,0.947265523753101,0.0325619283889362,0.00305846632354574,0.05273447624689897,53703,141935,0.01987529502941487,PA,10.8912241448583,11.863124485306622,3,TRUE
42109,"Snyder County, Pennsylvania",38235,0.3916413304680078,0.9156008892376096,0.0153785798352295,0.0031646397279979,0.08439911076239048,60227,40452,0.01174231187580342,PA,11.005876035732005,10.607871365022062,3,TRUE
42111,"Somerset County, Pennsylvania",70304,0.2254566589372545,0.9600591715976332,0.01315714610832954,0.0033710741920801,0.0399408284023669,51255,73844,0.00958777964357293,PA,10.844568453217502,11.20971003889046,2,FALSE
42113,"Sullivan County, Pennsylvania",5833,0.19534219568677824,0.9662266415223728,0.01748671352648722,5.143151037202125e-4,0.0337733584776273,49830,6038,0.02368333885392514,PA,10.81637249127545,8.705828110266784,2,FALSE
42115,"Susquehanna County, Pennsylvania",38693,0.16395519807046469,0.9749308660481224,0.0093040084769855,0.00366991445481094,0.02506913395187759,55788,40604,0.01985026105802384,PA,10.929314071478585,10.611621862904322,1,FALSE
42117,"Tioga County, Pennsylvania",38660,0.09036988154854927,0.9874547335747542,0.00556130367304707,0.00258665287118468,0.01254526642524578,51838,40759,0.01292965970705856,PA,10.855878750035004,10.615431953178978,1,FALSE
42119,"Union County, Pennsylvania",42844,0.48339634050672553,0.9010596582952104,0.03405377649145738,0.01384091121277191,0.09894034170478948,56824,44831,0.03216524280074056,PA,10.947714050677646,10.710655143391888,4,TRUE
42121,"Venango County, Pennsylvania",48857,0.12692297931493324,0.980289416050924,0.00581288249380846,0.00196491802607609,0.01971058394907587,51405,51355,0.00689319443092201,PA,10.847490722976818,10.846517581599905,1,FALSE
42123,"Warren County, Pennsylvania",37467,0.1867816206391625,0.9693863933594896,0.00651239757653401,0.00205514185816852,0.03061360664051027,52034,39466,0.01459484112907312,PA,10.859652630053144,10.583194820729371,2,FALSE
42125,"Washington County, Pennsylvania",196593,0.17709641535576456,0.9726643369804622,0.01115502586562085,0.00389128809265843,0.02733566301953782,65478,207081,0.01975072556149526,PA,11.089469487341145,12.240865300055752,2,FALSE
42127,"Wayne County, Pennsylvania",49127,0.3237819850876882,0.9420074500783684,0.02591243104606428,0.00449854458851548,0.05799254992163172,55572,51268,0.03557774830303503,PA,10.925434756268752,10.844822054849717,3,TRUE
42129,"Westmoreland County, Pennsylvania",334982,0.17244338081315294,0.9744971371596086,0.00723322447176266,0.0062242150324495,0.02550286284039138,61398,350722,0.01670839012095049,PA,11.02513254031481,12.767749165840218,2,FALSE
42131,"Wyoming County, Pennsylvania",25790,0.12729609140217416,0.9805350911205892,0.00961613028305544,0.00201628538193098,0.01946490887941066,60075,27078,0.01285176157766452,PA,11.00334906060467,10.206476869055056,1,FALSE
42133,"York County, Pennsylvania",422229,0.3893908310696363,0.9211115295254472,0.05062181896553765,0.00830828768275035,0.07888847047455294,68940,447628,0.04126864271225214,PA,11.140991840070855,13.011717809316812,3,TRUE
44001,"Bristol County, Rhode Island",46657,0.5363791674512356,0.8679083524444349,0.01232398139614634,0.0102021132948968,0.13209164755556513,85413,48645,0.10340219960941516,NA,11.355253593015997,10.792304307409529,4,TRUE
44003,"Kent County, Rhode Island",156127,0.4708987139511127,0.9100091592101304,0.03121176990526943,0.01972752951123124,0.08999084078986974,75857,164122,0.06626168338187446,NA,11.236605267927818,12.008365332687086,4,TRUE
44005,"Newport County, Rhode Island",79166,0.4752035959877008,0.9090771290705606,0.02885076926963595,0.01130535836091251,0.0909228709294394,84282,82731,0.06669809382214648,NA,11.341923598058964,11.323349659624771,4,TRUE
44007,"Providence County, Rhode Island",599800,1.0601146596933742,0.6835828609536512,0.1901517172390797,0.02823941313771257,0.3164171390463488,62323,636161,0.18978843405993137,NA,11.040085818025284,13.363206954940646,4,TRUE
44009,"Washington County, Rhode Island",121360,0.3454323335204963,0.939939024390244,0.01629861568885959,0.01165128543177323,0.06006097560975609,86970,126139,0.04872402666899214,NA,11.373318510583813,11.745139752486836,3,TRUE
45001,"Abbeville County, South Carolina",23307,0.19700276229638608,0.9668769039344404,0.00956794096194276,3.0033895396232893e-4,0.03312309606555974,43090,24582,0.02412334228297128,NA,10.671046230609884,10.109769746774926,2,FALSE
45003,"Aiken County, South Carolina",159942,0.28821352661550276,0.938659013892536,0.04855510122419377,0.00516437208488076,0.06134098610746397,53385,169947,0.03992421166598998,NA,10.885285086612402,12.043241902717796,3,TRUE
45005,"Allendale County, South Carolina",8405,0.20816328249204377,0.9600237953599048,0.03022010707911957,0.0048780487804878,0.03997620464009521,26074,8789,0.01638411650927295,NA,10.168693928222725,9.081256218564643,2,FALSE
45007,"Anderson County, South Carolina",188537,0.2399886984588377,0.956395826813835,0.02854612092056201,0.00346881513973384,0.04360417318616505,53598,200183,0.03009746082334663,NA,10.889267032929894,12.206987227172853,2,FALSE
45009,"Bamberg County, South Carolina",13580,0.16146407038405022,0.972901325478645,0.01524300441826215,0.00279823269513991,0.02709867452135495,42830,14236,0.03210171396459679,NA,10.664994070609415,9.563529246630084,1,FALSE
45011,"Barnwell County, South Carolina",19954,0.10727269566275234,0.9784003207376968,0.02104841134609602,0,0.02159967926230333,37572,21170,0.02125649504015115,NA,10.534014371114406,9.96034036412891,1,FALSE
45013,"Beaufort County, South Carolina",179923,0.4514482205721109,0.8914980297127104,0.08439721436392235,0.00679735220066361,0.10850197028728958,71430,189732,0.08017097801108933,NA,11.176473228149018,12.153367829098146,3,TRUE
45015,"Berkeley County, South Carolina",207862,0.4282312399452403,0.9125718024458536,0.05070190799665163,0.01805043730936871,0.08742819755414655,65443,222103,0.05329509281729648,NA,11.08893481374663,12.31089651722038,3,TRUE
45017,"Calhoun County, South Carolina",13894,0.20946331131584664,0.9563120771556068,0.03591478335972362,0.00244709946739599,0.04368792284439327,49844,14608,0.01684008762322015,NA,10.816653407062756,9.58932460283475,2,FALSE
45019,"Charleston County, South Carolina",383715,0.3818529001652058,0.9264349842982422,0.04142397352201504,0.00939238757932319,0.07356501570175777,67182,407543,0.05815828023055236,NA,11.115160633488252,12.917901727568449,3,TRUE
45021,"Cherokee County, South Carolina",53802,0.226630228090908,0.9564328463625889,0.03196907178171815,0.00464666741013345,0.04356715363741126,37787,57110,0.02659779373139555,NA,10.53972040711132,10.952734511658909,2,FALSE
45023,"Chester County, South Carolina",30441,0.18197507637102553,0.968332183568214,0.02115567819716829,0.00509181695739299,0.03166781643178607,43985,32260,0.01676999380037197,NA,10.691603945686776,10.3815833516792,2,FALSE
45025,"Chesterfield County, South Carolina",43217,0.19098192009209697,0.9605247934840456,0.03366730684684268,6.016151051669482e-4,0.03947520651595437,41937,45833,0.0253310933170423,NA,10.64392377113924,10.732759634666934,2,FALSE
45027,"Clarendon County, South Carolina",32310,0.19745783116474963,0.9637264004952028,0.02476013618074899,0.00705663881151346,0.03627359950479725,43881,33865,0.01996161228406909,NA,10.689236703555196,10.430137311649004,2,FALSE
45029,"Colleton County, South Carolina",35507,0.18023625384421277,0.9633311741346776,0.03016306643760385,0.00512574985214183,0.03666882586532238,36748,37624,0.02663193706145013,NA,10.511839081391358,10.535397423624884,2,FALSE
45031,"Darlington County, South Carolina",62945,0.1461509688699388,0.9745174358567004,0.0175391214552387,0.00243069346254666,0.02548256414329974,37141,66858,0.01966855125788985,NA,10.52247675969231,11.11032624627511,1,FALSE
45033,"Dillon County, South Carolina",28430,0.129127910392131,0.97569468870911,0.02082307421737601,6.331340133661625e-4,0.02430531129088986,36429,30473,0.0078101926295409,NA,10.503120439721927,10.324596324632314,1,FALSE
45035,"Dorchester County, South Carolina",151691,0.3492178904841198,0.933516161143377,0.03764890468122697,0.0127232334152982,0.06648383885662301,63501,161309,0.05569435059420119,NA,11.05881093278828,11.991077059208926,3,TRUE
45037,"Edgefield County, South Carolina",26023,0.2446238706507509,0.9430888060561812,0.05160819275256503,0.0011143988010606,0.05691119394381894,52491,27021,0.03689722808186226,NA,10.86839700531273,10.204369620451851,2,FALSE
