GEOID,NAME,county_name,state_name,pop_change_abs,age_change_abs,white_change_abs,black_change_abs,hispanic_change_abs,foreign_change_abs,housing_change_abs,ownership_change_abs,real_income_change_abs,poverty_change_abs,unemployment_change_abs,college_change_abs,hs_change_abs,pop_change_abs_z,age_change_abs_z,white_change_abs_z,black_change_abs_z,hispanic_change_abs_z,foreign_change_abs_z,housing_change_abs_z,ownership_change_abs_z,real_income_change_abs_z,poverty_change_abs_z,unemployment_change_abs_z,college_change_abs_z,hs_change_abs_z,stability_index,stability_rank,stability_percentile
56003,"Big Horn County, Wyoming",Big Horn County,Wyoming,1.158366449649108,0.5,4.375456168314173,0.3940932590845076,0.940782798027131,0.5549097001011805,0.37209302325581395,1.991083030126319,3.159139456820263,0.28590371383368485,1.0675268642136118,1.3187616639861428,0.18578945418836668,-0.8394218233687705,-0.8184120205504745,-0.1149128208278566,-0.3977342401520757,-0.3394718148629364,-0.26991828451071626,-0.9067951023943133,-0.2523848958102205,-1.3416062997062899,-1.1862202251621403,-1.1580145367091805,-0.714625019981867,-0.5398423268711174,-0.68302764699292,15,0.4888268156424581
22097,"St. Landry Parish, Louisiana",St. Landry Parish,Louisiana,1.1302952656912284,0.5999999999999943,2.3287493033489426,0.1947900373352951,0.7381696656781345,0.6101117750951605,2.5041736227045077,1.6752512447790338,11.09526055175666,0.25105120751434384,0.7218347483484528,0.572054435356776,0.2933813881048195,-0.8444246042467172,-0.7365107861770427,-0.4655351867185665,-0.5582998263631939,-0.5024691785176385,-0.21476387368792002,-0.5126791853158519,-0.38572296887145363,-0.6030790552863393,-1.200000316746718,-1.2955516558785771,-1.181337236357178,-0.35337444333273,-0.6810575628846096,16,0.5237430167597765
29157,"Perry County, Missouri",Perry County,Missouri,0.378111542905157,1.7999999999999972,1.976846453836714,0.2862944199535173,0.46080198824704954,0.09419956008793817,1.0257605781559622,0.26269782699449706,0.9949426373064121,0.4004310069443999,1.0545875540263516,3.1108005991606724,0.24353090020923673,-0.9784770314868082,0.24630402630419634,-0.5258198380146162,-0.48458072284328624,-0.7256047653384429,-0.7302306248582381,-0.7859644040002084,-0.9820757096709417,-1.5430042237523058,-1.1409380703139647,-1.1631625726796888,0.4054477892788194,-0.43977046423206123,-0.6806058932005806,17,0.5586592178770949
29023,"Butler County, Missouri",Butler County,Missouri,1.5759945992504132,0.7000000000000028,3.0636958051096457,0.1078226143681249,0.771423939836076,0.008853598488589909,1.762942640857593,0.7363359219773002,10.6554203539823,1.8266046446106436,3.463685161889071,0.13548231504985608,0.02104095197844913,-0.7649931094230883,-0.6546095518035994,-0.33963113779907644,-0.6283637978707148,-0.47571691939625677,-0.8155028945805336,-0.6496960167869995,-0.7821148639189638,-0.6440101304755376,-0.5770531329588284,-0.20467862243372464,-1.4542066208549216,-0.8253684198127832,-0.6781496321626944,18,0.5935754189944134
54097,"Upshur County, West Virginia",Upshur County,West Virginia,2.4992853350757542,0.7000000000000028,3.018830506709719,0.7110925617760208,0.31276687683624016,0.017804339817451997,0.8264462809917356,0.17023853986398763,6.730121465754824,3.0906743945593504,1.7462948227263588,0.21086056761651584,0.3879876493429322,-0.6004463897370551,-0.6546095518035994,-0.3473170342704513,-0.142348610063135,-0.844695431419898,-0.806559881759467,-0.822807728325771,-1.0211102329664399,-1.0092943967774957,-0.07726133135973184,-0.8879598108017195,-1.4070931740138364,-0.18941206566741872,-0.6777627414589246,19,0.6284916201117319
56013,"Fremont County, Wyoming",Fremont County,Wyoming,3.2818674979749134,0.7999999999999972,2.5733302678425076,0.10144916208901666,1.474917726633361,0.778633937537022,1.4494388359370594,1.0872800885464784,3.9977584107905457,0.12610040132842748,1.5497463228212194,0.35135414152940925,0.15148095136933648,-0.4609764234595885,-0.5727083174301676,-0.423635900655429,-0.6334984720240073,0.09022681419110068,-0.046387221522615284,-0.7076473154460615,-0.6339530224153918,-1.2635652847337255,-1.2494037523858137,-0.9661586276488,-1.3192808899574286,-0.5993024896840946,-0.6758685310132324,20,0.6634078212290503
29215,"Texas County, Missouri",Texas County,Missouri,3.7525197705070554,0.8000000000000043,2.3090167532027976,0.16259984681584072,0.484734258408972,0.28482765582893355,5.080374795839422,1.431987503122798,0.32493998101725197,1.522318286548277,2.0748394805793104,0.5027932576132681,0.11196778625460979,-0.37709787410025536,-0.5727083174301618,-0.46891557964914665,-0.5842333600293359,-0.7063518329275947,-0.5397671267376912,-0.03646740974263323,-0.48842421701353494,-1.6053539799599064,-0.6973628129461781,-0.7572449819532197,-1.2246273459664978,-0.6677828673726978,-0.6712567466022195,21,0.6983240223463687
39033,"Crawford County, Ohio",Crawford County,Ohio,2.7302723301422067,0.3999999999999986,1.2690757884000305,0.0038165892409597335,0.5195304558226184,0.6132184323618668,1.0656309132556518,0.5787440156646682,6.848249027237355,2.2210101107296367,3.7649715339582714,0.7931678724872757,0.03443383027375546,-0.5592804266730558,-0.900313254923912,-0.6470683809649365,-0.7121546580859364,-0.678359133846947,-0.2116598988610275,-0.7785943572552105,-0.8486471196723455,-0.9983015677331649,-0.42111188171051583,-0.08480877942127894,-1.0431353570169142,-0.8021571847386725,-0.6681224616079936,22,0.7332402234636871
39031,"Coshocton County, Ohio",Coshocton County,Ohio,0.3780461270670148,0.6999999999999957,1.3792765686117576,0.06955734624705023,0.36087057898856045,0.17096774716661817,0.6386084417954021,2.2151994622881688,5.208689167408405,0.7397351204986293,2.9367723094095632,2.342633819064849,0.12636635612659575,-0.9784886897447806,-0.6546095518036051,-0.6281898307718221,-0.6591916247039268,-0.805997166692646,-0.6535287231865974,-0.8575296249914233,-0.15776727151708503,-1.1508773173791245,-1.0067829620138617,-0.41431625215516293,-0.07467722724537172,-0.6428286653960547,-0.6680603775078047,23,0.7681564245810055
17167,"Sangamon County, Illinois",Sangamon County,Illinois,1.3510522715383686,0.8999999999999986,3.1575253398436445,0.2419654926414836,0.5007026487444923,0.4175455923604847,2.907697758880326,0.22606826918236322,8.95347790875551,2.0009961542591324,2.9090819963738683,0.22435202619514527,0.09478527383576818,-0.8050818059813515,-0.49080708305673004,-0.32355715377038746,-0.5202936437760101,-0.6935056491865736,-0.4071637853630556,-0.43808759387538315,-0.9975400007345674,-0.8023911391822561,-0.5081016792954992,-0.4253331244211009,-1.3986606474573093,-0.697561928014004,-0.6544680949318636,24,0.803072625698324
